node_id,type,payload_json
food.seed-starting,skill,"{""performance_statement"": ""Start seeds in a controlled way, document the variables, and produce healthy seedlings or a clear diagnosis of what failed."", ""inputs"": [""crop choice"", ""planting date"", ""light plan"", ""watering plan""], ""tools"": [""seed trays or containers"", ""labels"", ""light source or window"", ""timer (optional)""], ""materials"": [""seed mix"", ""seeds"", ""water"", ""log sheet""], ""steps_summary"": [""Choose crops and dates based on local season and transplant window."", ""Prepare containers, medium, labels, and a light plan."", ""Sow at the correct depth and moisture level."", ""Track emergence, watering, and light exposure in a log."", ""Harden off or re-seed based on results.""], ""success_criteria"": [""Containers are labeled and dated."", ""The log shows sowing date, crop, and emergence observations."", ""The learner can explain at least one likely cause if germination or growth is weak.""], ""failure_modes"": [""Starting too early or too late for local conditions."", ""Under-lighting seedlings and producing weak growth."", ""Overwatering and damping off.""], ""safety_boundary"": ""Follow seed packet and local climate guidance; avoid introducing contaminated soil or plants into indoor living spaces.""}"
food.beginner-garden-system,project,"{""goal"": ""Design a manageable growing system that matches the site, season, water access, labor, and learning goals."", ""deliverables"": [""garden layout"", ""crop plan"", ""care calendar"", ""material list""], ""acceptance_criteria"": [""The plan fits the actual sunlight, water access, and available time."", ""The crop mix includes at least one reliable and one learning-oriented crop."", ""The layout and calendar are usable without further interpretation.""], ""time_box_hours"": 4.0, ""budget_band"": ""low"", ""team_size"": 1}"
shelter.building-envelope,concept,"{""definition"": ""A simple model of how heat, air, and moisture move through walls, roofs, floors, windows, and gaps."", ""key_questions"": [""Where does heat escape or enter most easily?"", ""How do air leaks differ from insulation gaps?"", ""When does moisture turn from nuisance into building damage?""], ""misconceptions"": [""Insulation alone solves all comfort problems."", ""Condensation is purely cosmetic."", ""More sealing is always better even if ventilation is ignored.""], ""formulas_or_rules"": [""Air sealing and insulation solve different but related problems."", ""Warm air carries moisture; moisture management is part of durability."", ""Control layers work best when they are continuous.""], ""units"": [""degree F"", ""degree C"", ""R-value"", ""humidity"", ""square foot""]}"
shelter.weatherization-audit,project,"{""goal"": ""Inspect the building or dwelling for obvious air leakage, weak spots, and easy improvements, then rank them by impact and effort."", ""deliverables"": [""weatherization audit"", ""priority fix list"", ""room-by-room notes"", ""photo log""], ""acceptance_criteria"": [""The audit identifies where drafts, weak insulation, or leakage are likely."", ""The output ranks fixes by impact, cost, and reversibility."", ""The list clearly distinguishes owner-level from renter-friendly actions.""], ""time_box_hours"": 3.0, ""budget_band"": ""low"", ""team_size"": 1}"
shelter.moisture-and-mold-control,skill,"{""performance_statement"": ""Identify likely moisture sources, document conditions that keep surfaces damp, and create a response plan that removes the source or shortens exposure."", ""inputs"": [""visible conditions"", ""humidity or dampness observations"", ""space usage patterns""], ""tools"": [""flashlight"", ""checklist"", ""camera or notebook""], ""materials"": [""moisture checklist""], ""steps_summary"": [""Inspect areas near plumbing, exterior walls, windows, bathrooms, kitchens, and basements or crawlspaces."", ""Classify the moisture source: leak, condensation, infiltration, or occupant load."", ""Record what keeps the area damp: poor airflow, low heat, trapped vapor, or repeated wetting."", ""Choose corrective actions that target the source first."", ""Set a follow-up check date.""], ""success_criteria"": [""The response plan targets the source, not only the surface."", ""Areas needing escalation are clearly identified."", ""The learner can explain the difference between leak-driven and condensation-driven problems.""], ""failure_modes"": [""Treating visible mold as only a cleaning problem."", ""Ignoring intermittent leaks or seasonal condensation patterns."", ""Failing to recheck after the first intervention.""], ""safety_boundary"": ""Escalate persistent, extensive, or health-sensitive cases to qualified local guidance; do not disturb hazardous materials or hidden cavities without appropriate precautions.""}"
repair.hand-tool-literacy,skill,"{""performance_statement"": ""Demonstrate correct selection and basic use of essential hand tools for common household tasks."", ""inputs"": [""task list"", ""tool list"", ""fastener types"", ""material types""], ""tools"": [""measuring tape"", ""screwdrivers"", ""adjustable wrench"", ""pliers"", ""utility knife"", ""hammer""], ""materials"": [""sample fasteners or scrap material"", ""checklist""], ""steps_summary"": [""Match each tool to the task and material."", ""Demonstrate measuring, fastening, loosening, cutting, and gripping with control."", ""Identify common fastener types and the right driver or wrench fit."", ""Store tools and blades safely after use."", ""Record gaps in the starter tool list.""], ""success_criteria"": [""The learner uses tools without damaging the fastener or material."", ""The learner can name when not to force a tool fit."", ""The checklist shows which core tools are present or still needed.""], ""failure_modes"": [""Using the wrong size driver or wrench."", ""Applying force before understanding the fastener direction or material."", ""Neglecting blade safety and hand placement.""], ""safety_boundary"": ""Do not improvise on energized, pressurized, or structurally critical systems when the task exceeds basic hand-tool work.""}"
repair.shutoffs-seals-and-patches,skill,"{""performance_statement"": ""Find the key shutoffs, assemble a small response kit, and apply simple reversible fixes for gaps, drips, and minor surface damage."", ""inputs"": [""household layout"", ""known utility fixtures"", ""minor repair materials""], ""tools"": [""flashlight"", ""hand tools"", ""marker"", ""camera""], ""materials"": [""sealants or weatherstripping"", ""absorbent materials"", ""temporary patch supplies"", ""checklist""], ""steps_summary"": [""Locate water and utility shutoffs and label or map them."", ""Assemble a small kit for leaks, drafts, and minor patching."", ""Apply simple sealing or temporary patching to a low-risk target."", ""Document what worked, what did not, and what still needs escalation."", ""Store the map and kit where others can find them.""], ""success_criteria"": [""Shutoff locations are recorded and usable under stress."", ""The patch or seal improves the problem without creating a larger one."", ""The learner can tell temporary repair from durable repair.""], ""failure_modes"": [""Not knowing the right shutoff until an emergency starts."", ""Using the wrong sealant or patch for the material or moisture condition."", ""Treating a temporary fix as a permanent solution.""], ""safety_boundary"": ""Temporary repairs buy time; stop and escalate when structural, electrical, gas, or concealed damage is possible.""}"
power.circuit-basics,concept,"{""definition"": ""A beginner model of household electrical loads, circuit limits, and the relationship between power and stored energy."", ""key_questions"": [""What is the difference between watts and watt-hours?"", ""Why do some devices have startup surges?"", ""How do breakers and circuit limits constrain what can run together?""], ""misconceptions"": [""High voltage automatically means high energy use."", ""Battery capacity alone tells you whether a device will run."", ""Nameplate numbers always equal real-world operating behavior.""], ""formulas_or_rules"": [""Power is rate; energy is quantity over time."", ""Add running loads before comparing them to available capacity."", ""Startup surge and inverter losses reduce effective margin.""], ""units"": [""volt"", ""amp"", ""watt"", ""watt-hour"", ""kilowatt-hour"", ""breaker size""]}"
power.load-audit,project,"{""goal"": ""Create a ranked list of critical loads, their power draw, duty cycle, and outage priority over different durations."", ""deliverables"": [""load sheet"", ""critical load tiers"", ""device inventory"", ""usage assumptions""], ""acceptance_criteria"": [""The audit separates essential, important, and optional loads."", ""Each listed load includes at least a reasonable wattage estimate and use pattern."", ""The output is specific enough to size backup options.""], ""time_box_hours"": 3.0, ""budget_band"": ""low"", ""team_size"": 1}"
power.runtime-calculation,skill,"{""performance_statement"": ""Estimate how long a power source can support one or more loads and document the assumptions that change the answer most."", ""inputs"": [""usable energy estimate"", ""load sheet"", ""efficiency assumptions"", ""duty cycle""], ""tools"": [""calculator"", ""worksheet or spreadsheet""], ""materials"": [""load sheet"", ""runtime template""], ""steps_summary"": [""Identify usable energy and convert it into a common unit."", ""Select one or more loads and estimate whether they run continuously or intermittently."", ""Account for conversion losses or practical margins."", ""Calculate runtime for essential scenarios."", ""Record the assumptions that most affect the result.""], ""success_criteria"": [""The result uses consistent units throughout."", ""The learner can explain how duty cycle and losses change the answer."", ""The runtime table is readable by another household member.""], ""failure_modes"": [""Mixing watts and watt-hours."", ""Ignoring surge, duty cycle, or efficiency losses."", ""Assuming rated capacity is fully usable in all conditions.""], ""safety_boundary"": ""This is a planning calculation, not a substitute for manufacturer limits, electrical code, or safe generator and battery practices.""}"
power.backup-power-plan,project,"{""goal"": ""Create a practical backup power plan with tiered options, tradeoffs, and clear matching to critical loads and outage duration goals."", ""deliverables"": [""backup power plan"", ""budget-tier comparison"", ""decision log"", ""maintenance checklist""], ""acceptance_criteria"": [""Each tier names what it can and cannot support."", ""The plan documents assumptions, local constraints, and maintenance burdens."", ""The decision log explains why one tier is preferred for the current situation.""], ""time_box_hours"": 3.5, ""budget_band"": ""low"", ""team_size"": 1}"
community.local-resource-map,project,"{""goal"": ""Create a local map of people, places, and assets that could support mutual aid, repair, food access, water access, and emergency coordination."", ""deliverables"": [""local resource map"", ""contact and capability list"", ""sharing protocol notes""], ""acceptance_criteria"": [""The map includes both physical resources and human skills."", ""The output distinguishes public, private, and permission-based resources."", ""Contact or access notes are clear enough to be useful but respectful of privacy.""], ""time_box_hours"": 3.0, ""budget_band"": ""free"", ""team_size"": 1}"
community.teach-forward-session,project,"{""goal"": ""Prepare and deliver a short lesson that transfers one usable capability and leaves behind a handout, checklist, or map that others can reuse."", ""deliverables"": [""lesson plan"", ""one-page handout"", ""micro-session notes"", ""participant feedback notes""], ""acceptance_criteria"": [""The lesson has a clear promise, steps, and artifact."", ""A general audience can follow the language without insider jargon."", ""At least one participant could use the handout without the instructor present.""], ""time_box_hours"": 2.5, ""budget_band"": ""free"", ""team_size"": 1}"
