id,type,title,summary,plain_language,primary_domain,domains_json,stage,difficulty,estimated_hours,cost_band,risk_band,contexts_json,tags_json,requires_json,outputs_json,lifecycle_state,evidence_level,source_refs_json,payload_json,version,updated_at
food.pantry-rotation,skill,Rotate and Replenish Pantry Stock,"Rotate and replenish stored food systematically so stock remains familiar, usable, and current.","Stored food is only useful if it stays edible, visible, and part of normal household practice.",food,"[""food""]",household,1,1.5,free,low,"[""renter"", ""homeowner"", ""urban"", ""rural"", ""low_budget"", ""apartment""]","[""pantry"", ""rotation"", ""inventory"", ""household"", ""maintenance""]","[{""mode"": ""all_of"", ""ids"": [""food.pantry-design""], ""n"": null}]","[""rotation sheet"", ""reorder cadence""]",draft,compiled,[],"{""performance_statement"": ""Use labels, placement rules, and a simple review schedule to keep pantry stock fresh and aligned to actual use."", ""inputs"": [""pantry layout"", ""current stock"", ""date labels"", ""review interval""], ""tools"": [""marker"", ""labels"", ""shelf or bin system"", ""inventory sheet""], ""materials"": [""rotation sheet""], ""steps_summary"": [""Group items by use, shelf life, and replacement frequency."", ""Place older stock in front and newer stock in back."", ""Record quantities and trigger points for replenishment."", ""Review the pantry on a repeating schedule."", ""Retire, donate, or repurpose items before they become waste.""], ""success_criteria"": [""The household can find and use stock without guesswork."", ""Review dates and reorder triggers are visible."", ""Expired or stale items are not accumulating unnoticed.""], ""failure_modes"": [""Buying without a rotation habit."", ""Storing items that no one regularly cooks or eats."", ""Failing to set reorder triggers.""], ""safety_boundary"": ""Follow local food-safety guidance and product labeling; when in doubt about safety, discard rather than gamble.""}",1.0.0,2026-03-13
food.safe-preservation-basics,concept,Understand Safe Food Preservation Boundaries,"Understand the safe boundaries of freezing, drying, fermenting, and canning-related decisions before preserving food.",Preservation methods create very different risks; do not treat them as interchangeable.,food,"[""food""]",household,2,1.5,free,moderate,"[""renter"", ""homeowner"", ""urban"", ""rural"", ""low_budget""]","[""food-safety"", ""preservation"", ""freezing"", ""drying"", ""fermentation""]","[{""mode"": ""all_of"", ""ids"": [""foundation.verify-and-cite"", ""foundation.ai-grounded-research"", ""food.pantry-design""], ""n"": null}]","[""preservation safety card""]",draft,compiled,[],"{""definition"": ""A conceptual boundary map showing which preservation methods fit which foods, what their limits are, and when guidance must come from authoritative process sources."", ""key_questions"": [""Which preservation methods are low-risk vs higher-risk?"", ""What environmental factors make preserved food safer or less safe?"", ""When is authoritative process guidance essential?""], ""misconceptions"": [""Any preserved food that looks fine is safe."", ""A successful batch proves the method was sound."", ""Drying, fermenting, freezing, and canning have the same risk profile.""], ""formulas_or_rules"": [""Match method to food type and moisture/acid profile."", ""Use authoritative process guidance for higher-risk methods."", ""When a method depends on exact procedure, improvisation shrinks safety margin.""], ""units"": [""time"", ""temperature"", ""pH"", ""water activity""]}",1.0.0,2026-03-13
food.seed-starting,skill,Start Seeds Reliably,"Start plants from seed with correct timing, medium, light, moisture, and labeling.","Strong seedlings come from consistent conditions, not from luck.",food,"[""food""]",productive,2,2.0,low,low,"[""renter"", ""homeowner"", ""urban"", ""rural"", ""low_budget"", ""apartment""]","[""gardening"", ""seed-starting"", ""horticulture"", ""planning"", ""seasonality""]","[{""mode"": ""all_of"", ""ids"": [""foundation.measurement-and-units""], ""n"": null}]","[""seed-start log"", ""germination setup""]",draft,compiled,[],"{""performance_statement"": ""Start seeds in a controlled way, document the variables, and produce healthy seedlings or a clear diagnosis of what failed."", ""inputs"": [""crop choice"", ""planting date"", ""light plan"", ""watering plan""], ""tools"": [""seed trays or containers"", ""labels"", ""light source or window"", ""timer (optional)""], ""materials"": [""seed mix"", ""seeds"", ""water"", ""log sheet""], ""steps_summary"": [""Choose crops and dates based on local season and transplant window."", ""Prepare containers, medium, labels, and a light plan."", ""Sow at the correct depth and moisture level."", ""Track emergence, watering, and light exposure in a log."", ""Harden off or re-seed based on results.""], ""success_criteria"": [""Containers are labeled and dated."", ""The log shows sowing date, crop, and emergence observations."", ""The learner can explain at least one likely cause if germination or growth is weak.""], ""failure_modes"": [""Starting too early or too late for local conditions."", ""Under-lighting seedlings and producing weak growth."", ""Overwatering and damping off.""], ""safety_boundary"": ""Follow seed packet and local climate guidance; avoid introducing contaminated soil or plants into indoor living spaces.""}",1.0.0,2026-03-13
food.beginner-garden-system,project,Plan a Beginner Garden System,"Plan a small bed or container garden for reliable output, maintenance, and learning rather than maximal complexity.",A small garden that fits your time and space teaches more than a sprawling one you cannot maintain.,food,"[""food""]",productive,2,4.0,low,low,"[""renter"", ""homeowner"", ""urban"", ""rural"", ""low_budget"", ""apartment""]","[""gardening"", ""layout"", ""crop-planning"", ""containers"", ""beds""]","[{""mode"": ""all_of"", ""ids"": [""foundation.systems-mapping"", ""food.seed-starting""], ""n"": null}]","[""garden layout"", ""crop plan"", ""care calendar""]",draft,compiled,[],"{""goal"": ""Design a manageable growing system that matches the site, season, water access, labor, and learning goals."", ""deliverables"": [""garden layout"", ""crop plan"", ""care calendar"", ""material list""], ""acceptance_criteria"": [""The plan fits the actual sunlight, water access, and available time."", ""The crop mix includes at least one reliable and one learning-oriented crop."", ""The layout and calendar are usable without further interpretation.""], ""time_box_hours"": 4.0, ""budget_band"": ""low"", ""team_size"": 1}",1.0.0,2026-03-13
shelter.building-envelope,concept,Understand the Building Envelope,"Understand how heat, air, moisture, insulation, and leakage pathways affect comfort, cost, and damage.","The envelope is the boundary between indoors and outdoors; when it leaks air or traps moisture badly, the whole house pays for it.",shelter,"[""shelter""]",household,2,2.0,free,low,"[""renter"", ""homeowner"", ""urban"", ""rural"", ""low_budget"", ""cold_climate"", ""hot_climate""]","[""shelter"", ""building-science"", ""heat"", ""air-sealing"", ""moisture""]","[{""mode"": ""all_of"", ""ids"": [""foundation.measurement-and-units""], ""n"": null}]","[""building-envelope diagram"", ""heat-loss note""]",draft,compiled,[],"{""definition"": ""A simple model of how heat, air, and moisture move through walls, roofs, floors, windows, and gaps."", ""key_questions"": [""Where does heat escape or enter most easily?"", ""How do air leaks differ from insulation gaps?"", ""When does moisture turn from nuisance into building damage?""], ""misconceptions"": [""Insulation alone solves all comfort problems."", ""Condensation is purely cosmetic."", ""More sealing is always better even if ventilation is ignored.""], ""formulas_or_rules"": [""Air sealing and insulation solve different but related problems."", ""Warm air carries moisture; moisture management is part of durability."", ""Control layers work best when they are continuous.""], ""units"": [""degree F"", ""degree C"", ""R-value"", ""humidity"", ""square foot""]}",1.0.0,2026-03-13
shelter.weatherization-audit,project,Run a Basic Weatherization Audit,"Inspect drafts, heat loss, leakage, and weatherization priorities to rank practical improvements.",A weatherization audit tells you where comfort and energy losses are actually happening instead of where you guess they are.,shelter,"[""shelter""]",household,2,3.0,low,low,"[""renter"", ""homeowner"", ""urban"", ""rural"", ""low_budget"", ""cold_climate"", ""hot_climate""]","[""weatherization"", ""audit"", ""heat-loss"", ""air-sealing"", ""home-performance""]","[{""mode"": ""all_of"", ""ids"": [""foundation.systems-mapping"", ""foundation.household-resilience-inventory"", ""shelter.building-envelope""], ""n"": null}]","[""weatherization audit"", ""priority fix list"", ""room-by-room notes""]",draft,compiled,[],"{""goal"": ""Inspect the building or dwelling for obvious air leakage, weak spots, and easy improvements, then rank them by impact and effort."", ""deliverables"": [""weatherization audit"", ""priority fix list"", ""room-by-room notes"", ""photo log""], ""acceptance_criteria"": [""The audit identifies where drafts, weak insulation, or leakage are likely."", ""The output ranks fixes by impact, cost, and reversibility."", ""The list clearly distinguishes owner-level from renter-friendly actions.""], ""time_box_hours"": 3.0, ""budget_band"": ""low"", ""team_size"": 1}",1.0.0,2026-03-13
shelter.moisture-and-mold-control,skill,Control Moisture and Interrupt Mold Conditions,Identify moisture sources and interrupt the conditions that allow mold and building damage to persist.,Mold control starts with moisture control; cleaning alone is not a strategy if the source remains.,shelter,"[""shelter""]",household,2,2.0,low,moderate,"[""renter"", ""homeowner"", ""urban"", ""rural"", ""low_budget"", ""cold_climate"", ""hot_climate""]","[""moisture"", ""mold"", ""ventilation"", ""inspection"", ""durability""]","[{""mode"": ""all_of"", ""ids"": [""foundation.verify-and-cite"", ""shelter.building-envelope""], ""n"": null}]","[""moisture checklist"", ""source map"", ""response plan""]",draft,compiled,[],"{""performance_statement"": ""Identify likely moisture sources, document conditions that keep surfaces damp, and create a response plan that removes the source or shortens exposure."", ""inputs"": [""visible conditions"", ""humidity or dampness observations"", ""space usage patterns""], ""tools"": [""flashlight"", ""checklist"", ""camera or notebook""], ""materials"": [""moisture checklist""], ""steps_summary"": [""Inspect areas near plumbing, exterior walls, windows, bathrooms, kitchens, and basements or crawlspaces."", ""Classify the moisture source: leak, condensation, infiltration, or occupant load."", ""Record what keeps the area damp: poor airflow, low heat, trapped vapor, or repeated wetting."", ""Choose corrective actions that target the source first."", ""Set a follow-up check date.""], ""success_criteria"": [""The response plan targets the source, not only the surface."", ""Areas needing escalation are clearly identified."", ""The learner can explain the difference between leak-driven and condensation-driven problems.""], ""failure_modes"": [""Treating visible mold as only a cleaning problem."", ""Ignoring intermittent leaks or seasonal condensation patterns."", ""Failing to recheck after the first intervention.""], ""safety_boundary"": ""Escalate persistent, extensive, or health-sensitive cases to qualified local guidance; do not disturb hazardous materials or hidden cavities without appropriate precautions.""}",1.0.0,2026-03-13
repair.hand-tool-literacy,skill,Use Essential Hand Tools Confidently,"Use measuring, tightening, cutting, fastening, and basic repair tools safely and effectively.",Tool literacy lowers the barrier to fixing simple problems before they become expensive ones.,repair,"[""repair""]",household,1,2.5,low,moderate,"[""renter"", ""homeowner"", ""urban"", ""rural"", ""low_budget""]","[""tools"", ""repair"", ""measurement"", ""fasteners"", ""maintenance""]","[{""mode"": ""all_of"", ""ids"": [""foundation.measurement-and-units""], ""n"": null}]","[""tool competency checklist"", ""starter tool list""]",draft,compiled,[],"{""performance_statement"": ""Demonstrate correct selection and basic use of essential hand tools for common household tasks."", ""inputs"": [""task list"", ""tool list"", ""fastener types"", ""material types""], ""tools"": [""measuring tape"", ""screwdrivers"", ""adjustable wrench"", ""pliers"", ""utility knife"", ""hammer""], ""materials"": [""sample fasteners or scrap material"", ""checklist""], ""steps_summary"": [""Match each tool to the task and material."", ""Demonstrate measuring, fastening, loosening, cutting, and gripping with control."", ""Identify common fastener types and the right driver or wrench fit."", ""Store tools and blades safely after use."", ""Record gaps in the starter tool list.""], ""success_criteria"": [""The learner uses tools without damaging the fastener or material."", ""The learner can name when not to force a tool fit."", ""The checklist shows which core tools are present or still needed.""], ""failure_modes"": [""Using the wrong size driver or wrench."", ""Applying force before understanding the fastener direction or material."", ""Neglecting blade safety and hand placement.""], ""safety_boundary"": ""Do not improvise on energized, pressurized, or structurally critical systems when the task exceeds basic hand-tool work.""}",1.0.0,2026-03-13
repair.shutoffs-seals-and-patches,skill,"Locate Shutoffs, Seal Gaps, and Make Minor Temporary Repairs","Locate shutoffs, stop minor leaks, seal gaps, and make temporary repairs that buy time and reduce damage.","Fast, basic intervention often matters more than elegant intervention in the first minutes of a household problem.",repair,"[""repair""]",household,2,2.5,low,moderate,"[""renter"", ""homeowner"", ""urban"", ""rural"", ""low_budget""]","[""repair"", ""shutoffs"", ""sealing"", ""patching"", ""damage-control""]","[{""mode"": ""all_of"", ""ids"": [""shelter.moisture-and-mold-control"", ""repair.hand-tool-literacy""], ""n"": null}]","[""shutoff map"", ""patch kit list"", ""temporary repair notes""]",draft,compiled,[],"{""performance_statement"": ""Find the key shutoffs, assemble a small response kit, and apply simple reversible fixes for gaps, drips, and minor surface damage."", ""inputs"": [""household layout"", ""known utility fixtures"", ""minor repair materials""], ""tools"": [""flashlight"", ""hand tools"", ""marker"", ""camera""], ""materials"": [""sealants or weatherstripping"", ""absorbent materials"", ""temporary patch supplies"", ""checklist""], ""steps_summary"": [""Locate water and utility shutoffs and label or map them."", ""Assemble a small kit for leaks, drafts, and minor patching."", ""Apply simple sealing or temporary patching to a low-risk target."", ""Document what worked, what did not, and what still needs escalation."", ""Store the map and kit where others can find them.""], ""success_criteria"": [""Shutoff locations are recorded and usable under stress."", ""The patch or seal improves the problem without creating a larger one."", ""The learner can tell temporary repair from durable repair.""], ""failure_modes"": [""Not knowing the right shutoff until an emergency starts."", ""Using the wrong sealant or patch for the material or moisture condition."", ""Treating a temporary fix as a permanent solution.""], ""safety_boundary"": ""Temporary repairs buy time; stop and escalate when structural, electrical, gas, or concealed damage is possible.""}",1.0.0,2026-03-13
power.circuit-basics,concept,Understand Basic Circuits and Household Loads,"Understand volts, amps, watts, watt-hours, breakers, and common household loads so power choices are realistic.",Power problems become much easier once you know the difference between how fast energy is used and how much energy you have stored.,power,"[""power""]",household,2,2.0,free,moderate,"[""renter"", ""homeowner"", ""urban"", ""rural"", ""low_budget"", ""off_grid""]","[""electricity"", ""circuits"", ""loads"", ""energy"", ""backup-power""]","[{""mode"": ""all_of"", ""ids"": [""foundation.measurement-and-units""], ""n"": null}]","[""power formula card"", ""device label notes""]",draft,compiled,[],"{""definition"": ""A beginner model of household electrical loads, circuit limits, and the relationship between power and stored energy."", ""key_questions"": [""What is the difference between watts and watt-hours?"", ""Why do some devices have startup surges?"", ""How do breakers and circuit limits constrain what can run together?""], ""misconceptions"": [""High voltage automatically means high energy use."", ""Battery capacity alone tells you whether a device will run."", ""Nameplate numbers always equal real-world operating behavior.""], ""formulas_or_rules"": [""Power is rate; energy is quantity over time."", ""Add running loads before comparing them to available capacity."", ""Startup surge and inverter losses reduce effective margin.""], ""units"": [""volt"", ""amp"", ""watt"", ""watt-hour"", ""kilowatt-hour"", ""breaker size""]}",1.0.0,2026-03-13
power.load-audit,project,Run a Critical Loads Audit,Inventory critical devices and outage priorities so backup plans are sized for reality rather than guesswork.,You do not need to power everything; you need to know what truly matters and what it costs to keep it running.,power,"[""power""]",household,2,3.0,low,moderate,"[""renter"", ""homeowner"", ""urban"", ""rural"", ""low_budget"", ""off_grid""]","[""power"", ""load-audit"", ""outages"", ""priority-setting"", ""inventory""]","[{""mode"": ""all_of"", ""ids"": [""foundation.systems-mapping"", ""foundation.household-resilience-inventory"", ""power.circuit-basics""], ""n"": null}]","[""load sheet"", ""critical load tiers"", ""device inventory""]",draft,compiled,[],"{""goal"": ""Create a ranked list of critical loads, their power draw, duty cycle, and outage priority over different durations."", ""deliverables"": [""load sheet"", ""critical load tiers"", ""device inventory"", ""usage assumptions""], ""acceptance_criteria"": [""The audit separates essential, important, and optional loads."", ""Each listed load includes at least a reasonable wattage estimate and use pattern."", ""The output is specific enough to size backup options.""], ""time_box_hours"": 3.0, ""budget_band"": ""low"", ""team_size"": 1}",1.0.0,2026-03-13
