node_id,type,payload_json
module.11-backup-power-and-local-resource-map,module,"{""week"": 11, ""node_refs"": [""power.backup-power-plan"", ""community.local-resource-map""], ""learning_objectives"": [""Draft low-, mid-, and high-budget backup options matched to critical loads and runtime goals."", ""Compare backup options by capability, burden, and local constraints."", ""Map local skills, tools, spaces, and sources that matter during normal times and disruptions.""], ""seminar_outline"": [""Tiered backup planning instead of one-shot ideal purchases"", ""Tradeoffs: cost, maintenance, storage, fuel, noise, and constraints"", ""What belongs on a local resource map"", ""Privacy, permission, and useful coordination notes""], ""lab"": ""Build a budget-tier comparison for backup options and sketch a first-pass local resource map with contacts and capabilities."", ""field_task"": ""Complete one backup power plan and one local resource map using actual local constraints, contacts, and likely outage priorities."", ""teach_forward_task"": ""Explain to another person why your preferred backup tier fits your situation and point out two nearby resources that reduce isolation."", ""deliverable_refs"": [""backup power plan"", ""budget-tier comparison"", ""decision log"", ""local resource map"", ""contact and capability list"", ""sharing protocol notes""], ""assessment_ref"": ""assessment.module.11"", ""delivery_profile"": {""seminar_minutes"": 75, ""lab_minutes"": 90, ""field_task_minutes"": 90, ""teach_forward_minutes"": 15}}"
module.12-capstone-teach-forward,module,"{""week"": 12, ""node_refs"": [""community.teach-forward-session""], ""learning_objectives"": [""Turn one completed capability into a short lesson with a clear promise, steps, and artifact."", ""Translate technical language into terms a general audience can follow."", ""Leave behind a handout, checklist, or map that remains useful without the instructor present.""], ""seminar_outline"": [""Why knowledge transfer is part of capability, not an optional extra"", ""Compressing a lesson into 3-minute and 10-minute forms"", ""Designing a handout that survives without the teacher"", ""Capturing revision notes for the next cohort""], ""lab"": ""Draft a 10–20 minute lesson plan, build a one-page handout, and rehearse the session with timing and feedback."", ""field_task"": ""Deliver a short teach-forward session or record a rehearsal, then revise the lesson based on the clarity gaps you notice."", ""teach_forward_task"": ""This module is itself the teach-forward action; gather one piece of feedback and use it to improve the handout or lesson sequence."", ""deliverable_refs"": [""lesson plan"", ""one-page handout"", ""micro-session notes""], ""assessment_ref"": ""assessment.module.12"", ""delivery_profile"": {""seminar_minutes"": 60, ""lab_minutes"": 90, ""field_task_minutes"": 90, ""teach_forward_minutes"": 30}}"
assessment.module.01,assessment,"{""assessment_type"": ""portfolio_review"", ""rubric"": [""Required artifacts are complete, legible, and usable by another person."", ""The learner can explain the key decisions, assumptions, and tradeoffs in plain language."", ""The artifacts match the module goals and the covered node outputs."", ""The learner notes at least one improvement or next step based on review.""], ""passing_threshold"": ""All required evidence submitted; at least 3 of 4 rubric criteria marked Functional or better."", ""evidence_required"": [""claim-check worksheet"", ""source comparison note"", ""prompt pack"", ""source comparison brief""]}"
assessment.module.02,assessment,"{""assessment_type"": ""portfolio_review"", ""rubric"": [""Required artifacts are complete, legible, and usable by another person."", ""The learner can explain the key decisions, assumptions, and tradeoffs in plain language."", ""The artifacts match the module goals and the covered node outputs."", ""The learner notes at least one improvement or next step based on review.""], ""passing_threshold"": ""All required evidence submitted; at least 3 of 4 rubric criteria marked Functional or better."", ""evidence_required"": [""units cheat sheet"", ""conversion table"", ""household systems map"", ""dependency list"", ""household inventory sheet"", ""priority gap list""]}"
assessment.module.03,assessment,"{""assessment_type"": ""checklist"", ""rubric"": [""Each required item on the checklist is present and correctly labeled."", ""Core calculations or comparisons are internally consistent and match the worksheet."", ""A second person could follow the output without asking what the labels mean."", ""The learner identifies one item still needing verification or improvement.""], ""passing_threshold"": ""All critical checklist items passed and no critical field left blank."", ""evidence_required"": [""storage table"", ""container label set"", ""treatment decision matrix""]}"
assessment.module.04,assessment,"{""assessment_type"": ""demo"", ""rubric"": [""Required artifacts are complete and ready for use during the demonstration."", ""The learner can demonstrate the task or walkthrough without skipping critical steps."", ""The learner can explain the assumptions, limits, or safety boundaries in plain language."", ""Another person could repeat the procedure or use the handout after the demonstration.""], ""passing_threshold"": ""All required evidence submitted and all critical demonstration criteria passed."", ""evidence_required"": [""water test log"", ""household water plan"", ""water source and storage map"", ""retest schedule""]}"
assessment.module.05,assessment,"{""assessment_type"": ""portfolio_review"", ""rubric"": [""Required artifacts are complete, legible, and usable by another person."", ""The learner can explain the key decisions, assumptions, and tradeoffs in plain language."", ""The artifacts match the module goals and the covered node outputs."", ""The learner notes at least one improvement or next step based on review.""], ""passing_threshold"": ""All required evidence submitted; at least 3 of 4 rubric criteria marked Functional or better."", ""evidence_required"": [""pantry map"", ""shopping gap list"", ""category labels"", ""rotation sheet"", ""reorder cadence"", ""preservation safety card""]}"
assessment.module.06,assessment,"{""assessment_type"": ""demo"", ""rubric"": [""Required artifacts are complete and ready for use during the demonstration."", ""The learner can demonstrate the task or walkthrough without skipping critical steps."", ""The learner can explain the assumptions, limits, or safety boundaries in plain language."", ""Another person could repeat the procedure or use the handout after the demonstration.""], ""passing_threshold"": ""All required evidence submitted and all critical demonstration criteria passed."", ""evidence_required"": [""seed-start log"", ""germination setup"", ""garden layout"", ""crop plan"", ""care calendar""]}"
assessment.module.07,assessment,"{""assessment_type"": ""demo"", ""rubric"": [""Required artifacts are complete and ready for use during the demonstration."", ""The learner can demonstrate the task or walkthrough without skipping critical steps."", ""The learner can explain the assumptions, limits, or safety boundaries in plain language."", ""Another person could repeat the procedure or use the handout after the demonstration.""], ""passing_threshold"": ""All required evidence submitted and all critical demonstration criteria passed."", ""evidence_required"": [""building-envelope diagram"", ""heat-loss note"", ""weatherization audit"", ""priority fix list"", ""room-by-room notes""]}"
assessment.module.08,assessment,"{""assessment_type"": ""demo"", ""rubric"": [""Required artifacts are complete and ready for use during the demonstration."", ""The learner can demonstrate the task or walkthrough without skipping critical steps."", ""The learner can explain the assumptions, limits, or safety boundaries in plain language."", ""Another person could repeat the procedure or use the handout after the demonstration.""], ""passing_threshold"": ""All required evidence submitted and all critical demonstration criteria passed."", ""evidence_required"": [""moisture checklist"", ""source map"", ""response plan"", ""tool competency checklist"", ""starter tool list"", ""shutoff map"", ""patch kit list"", ""temporary repair notes""]}"
assessment.module.09,assessment,"{""assessment_type"": ""demo"", ""rubric"": [""Required artifacts are complete and ready for use during the demonstration."", ""The learner can demonstrate the task or walkthrough without skipping critical steps."", ""The learner can explain the assumptions, limits, or safety boundaries in plain language."", ""Another person could repeat the procedure or use the handout after the demonstration.""], ""passing_threshold"": ""All required evidence submitted and all critical demonstration criteria passed."", ""evidence_required"": [""power formula card"", ""device label notes""]}"
assessment.module.10,assessment,"{""assessment_type"": ""demo"", ""rubric"": [""Required artifacts are complete and ready for use during the demonstration."", ""The learner can demonstrate the task or walkthrough without skipping critical steps."", ""The learner can explain the assumptions, limits, or safety boundaries in plain language."", ""Another person could repeat the procedure or use the handout after the demonstration.""], ""passing_threshold"": ""All required evidence submitted and all critical demonstration criteria passed."", ""evidence_required"": [""load sheet"", ""critical load tiers"", ""device inventory"", ""runtime table"", ""assumption notes""]}"
assessment.module.11,assessment,"{""assessment_type"": ""portfolio_review"", ""rubric"": [""Required artifacts are complete, legible, and usable by another person."", ""The learner can explain the key decisions, assumptions, and tradeoffs in plain language."", ""The artifacts match the module goals and the covered node outputs."", ""The learner notes at least one improvement or next step based on review.""], ""passing_threshold"": ""All required evidence submitted; at least 3 of 4 rubric criteria marked Functional or better."", ""evidence_required"": [""backup power plan"", ""budget-tier comparison"", ""decision log"", ""local resource map"", ""contact and capability list"", ""sharing protocol notes""]}"
assessment.module.12,assessment,"{""assessment_type"": ""demo"", ""rubric"": [""Required artifacts are complete and ready for use during the demonstration."", ""The learner can demonstrate the task or walkthrough without skipping critical steps."", ""The learner can explain the assumptions, limits, or safety boundaries in plain language."", ""Another person could repeat the procedure or use the handout after the demonstration.""], ""passing_threshold"": ""All required evidence submitted and all critical demonstration criteria passed."", ""evidence_required"": [""lesson plan"", ""one-page handout"", ""micro-session notes""]}"
